mode,N,density,timesteps,trials,nnz,mean_time_ms,std_time_ms,median_time_ms,neuron_update_ms,presynaptic_update_ms,postsynaptic_update_ms,synapse_dynamics_ms,init_time_ms,init_sparse_time_ms,total_kernel_ms,gpu_throughput_edges_per_ms,total_spikes,spikes_per_step,gpu_mem_delta_mb,background_current
DENSE,1000,0.01,1000,10,10000,25.44200549746165,1.1793702283454186,24.830561997077893,0.004589216009853424,0.011339824008056883,0.0,0.0,4.2403199896216395e-05,0.0,0.015929040017910307,627784222.3232657,250000,250.0,-1.0,14.0
SPARSE,1000,0.01,1000,10,10000,73.07878459687345,1.0061807613998184,73.11663449945627,0.0048379968065303,0.05929268154844189,0.0,0.0,1.3414400070905685e-05,3.800320029258728e-05,0.06413067835497219,155931611.14948162,250000,250.0,-1.0,14.0
DENSE,1000,0.05,1000,10,50000,25.772506798966788,1.303548765201706,25.848240999039263,0.004899667199049175,0.011391247997549363,0.0,0.0,4.151360020041466e-05,0.0,0.01629091519659854,3069195278.264032,250000,250.0,-1.0,14.0
SPARSE,1000,0.05,1000,10,50000,74.4668884013663,0.9066462489522416,74.50553750095423,0.004933548807259672,0.06058844829497403,0.0,0.0,2.313600033521652e-05,3.42399999499321e-05,0.06552199710223369,763102503.1484498,250000,250.0,-1.0,14.0
DENSE,1000,0.1,1000,10,100000,25.347924501693342,1.1711722436853096,24.73234750505071,0.004750502406153847,0.011189183982787659,0.0,0.0,4.13087997585535e-05,0.0,0.015939686388941506,6273649152.180128,250000,250.0,-1.0,14.0
SPARSE,1000,0.1,1000,10,100000,73.4065352982725,0.995673591730223,73.3575420017587,0.00501341120295694,0.059553904051636436,0.0,0.0,3.684160113334656e-05,3.4569599479436876e-05,0.06456731525459337,1548771225.9011095,250000,250.0,-1.0,14.0
DENSE,5000,0.01,1000,10,250000,153.55425019952236,1.6052860479669837,153.39084399602143,0.004999990410590562,0.1401922849464704,0.0,0.0,0.0005269504010677338,0.0,0.14519227535706097,1721854688.1037085,1250000,1250.0,-1.0,14.0
SPARSE,5000,0.01,1000,10,250000,302.27810369979125,0.42067061009590256,302.3444959981134,0.0049948704130249235,0.2907021947553152,0.0,0.0,3.796480000019073e-05,0.00012784000039100648,0.29569706516834016,845459862.3008827,1250000,1250.0,-1.0,14.0
DENSE,5000,0.05,1000,10,1250000,151.1903003032785,2.5719540714687836,151.4360565051902,0.005055622412427349,0.13779766738524243,0.0,0.0,0.0005262208044528961,0.0,0.14285328979766979,8750236006.258148,1250000,1250.0,-1.0,14.0
SPARSE,5000,0.05,1000,10,1250000,303.1868645019131,0.6773650207853994,303.18121500022244,0.00500520961841104,0.29166377317668,0.0,0.0,0.00011684800013899803,0.00015592959821224213,0.2966689827950911,4213450250.9262104,1250000,1250.0,-1.0,14.0
DENSE,5000,0.1,1000,10,2500000,153.9250739995623,1.0692753012561316,153.91153149539605,0.004990297616226617,0.1404375010545138,0.0,0.0,0.0005254528045654297,0.0,0.14542779867074043,17190661089.907505,1250000,1250.0,-1.0,14.0
SPARSE,5000,0.1,1000,10,2500000,411.85888029867783,33.707486282733036,407.80474699568003,0.0049369888209505166,0.40036572776071094,0.0,0.0,0.0002137024000287056,0.0001599904030561447,0.40530271658166145,6168229073.530756,1250000,1250.0,-1.0,14.0
DENSE,10000,0.01,1000,10,1000000,452.9856569992262,2.1194533131205646,453.10193600016646,0.005131110417121112,0.4406018943214323,0.0,0.0,0.002232166385650635,0.0,0.44573300473855343,2243495521.689165,2500000,2500.0,-1.0,14.0
SPARSE,10000,0.01,1000,10,1000000,586.4105238026241,1.769573236868188,586.4552729981369,0.005046006417041662,0.5772802976643637,0.0,0.0,9.473920017480851e-05,0.00025760960280895234,0.5823263040814054,1717250264.9995465,2500000,2500.0,-1.0,14.0
DENSE,10000,0.05,1000,10,5000000,451.8256569994264,1.3650728674780988,452.12686900777044,0.005148697616229786,0.43959806392714357,0.0,0.0,0.002233561611175537,0.0,0.44474676154337334,11242352800.16172,2500000,2500.0,-1.0,14.0
SPARSE,10000,0.05,1000,10,5000000,1190.5149627986248,10.132309960650879,1190.0039664978976,0.004997296027629658,1.1813394879839794,0.0,0.0,0.0003828992009162903,0.00028248319923877715,1.186336784011609,4214654782.1710906,2500000,2500.0,-1.0,14.0
DENSE,10000,0.1,1000,10,10000000,451.4236342001823,2.213146337515318,451.5258165047271,0.0050886720180977375,0.439197980708466,0.0,0.0,0.0022349631786346435,0.0,0.44428665272656376,22507991042.78854,2500000,2500.0,-1.0,14.0
SPARSE,10000,0.1,1000,10,10000000,1249.321106597199,4.140938438045795,1250.5122529983055,0.004996550426818453,1.2401215561194519,0.0,0.0,0.00073990079164505,0.0003377279996871948,1.2451181065462702,8031366620.90488,2500000,2500.0,-1.0,14.0
